0 , 0.0672534
0.02 , 0.0612714
0.04 , 0.0553346
0.06 , 0.0494145
0.08 , 0.0434941
0.1 , 0.0376452
0.12 , 0.0320171
0.14 , 0.0266738
0.16 , 0.0213829
0.18 , 0.0155862
0.2 , 0.00870371
0.22 , 0.00064812
0.24 , 0.00781476
0.26 , 0.0152108
0.28 , 0.0200515
0.3 , 0.0217278
0.32 , 0.0210651
0.34 , 0.0201535
0.36 , 0.0214727
0.38 , 0.0267228
0.4 , 0.0359544
0.42 , 0.0474526
0.44 , 0.0584808
0.46 , 0.0665682
0.48 , 0.0707423
0.5 , 0.0720893
0.52 , 0.0733172
0.54 , 0.0774675
0.56 , 0.0863509
0.58 , 0.0994412
0.6 , 0.113774
0.62 , 0.124956
0.64 , 0.128897
0.66 , 0.123557
0.68 , 0.109919
0.7 , 0.0916939
0.72 , 0.0738122
0.74 , 0.0604122
0.76 , 0.0533903
0.78 , 0.0523267
0.8 , 0.0557396
0.82 , 0.0626733
0.84 , 0.073343
0.86 , 0.0882899
0.88 , 0.106776
0.9 , 0.125901
0.92 , 0.141415
0.94 , 0.149715
0.96 , 0.149365
0.98 , 0.140835
1 , 0.124822
1.02 , 0.10107
1.04 , 0.0693662
1.06 , 0.0322731
1.08 , 0.0030304
1.1 , 0.0264913
1.12 , 0.0305211
1.14 , 0.0155243
1.16 , 0.00890738
1.18 , 0.0289961
1.2 , 0.0351173
1.22 , 0.0276214
1.24 , 0.0157138
1.26 , 0.0100155
1.28 , 0.0142192
1.3 , 0.0219542
1.32 , 0.0210131
1.34 , 0.00163605
1.36 , 0.0371481
1.38 , 0.0871974
1.4 , 0.136375
1.42 , 0.17497
1.44 , 0.199255
1.46 , 0.210906
1.48 , 0.213964
1.5 , 0.211931
1.52 , 0.206394
1.54 , 0.197028
1.56 , 0.182316
1.58 , 0.160708
1.6 , 0.132119
1.62 , 0.0991137
1.64 , 0.0666653
1.66 , 0.0400188
1.68 , 0.0218441
1.7 , 0.0109759
1.72 , 0.00411437
1.74 , 0.000698587
1.76 , 0.0019514
1.78 , 0.00380253
1.8 , 0.0176882
1.82 , 0.035348
1.84 , 0.0482933
1.86 , 0.0494118
1.88 , 0.0382965
1.9 , 0.0216213
1.92 , 0.00769008
1.94 , 0.000640232
1.96 , 0.00871947
1.98 , 0.0259693
